trn_id,text,label
trn_1,"I really enjoy coming to this movie theater​. The prices are very reasonable ($3-5). The snacks are a little expensive, but you do get refills on the popcorn and soda.There is a game room there to help pass the time while waiting for your movie to start. The staff is very friendly, and the bathrooms are decent. I highly recommend this movie theater whether you are on a budget or not.",1
trn_2,"I heard this place was pretty good so I decided to try it out, my experience was bad. I've been to similar pizza places with the same ""build-your-own"" concept. I began building my pizza and when I got to the ""proteins"" I told the guy (didn't have a name tag) that I wanted all the proteins then he quickly said ""You can't do that, the cheese won't cook all the way"". I've been to Pieology and Fired Pie and they both had no issue with allowing me to put all the proteins and the pizzas cooked to perfection. It didn't seem like this guy was too fond of my idea of putting every meat because maybe they lose money that way or something, regardless I was shocked that this was my custom pizza and I couldn't even customize it to my liking. I ordered a pizza anyway and it was sub-par. Not bad I guess but next time I'll make the drive to Fired Pie in Downtown Phoenix instead.",-1
trn_3,This place is bomb! It was a long wait but worth it i promise. We ordered the hot Cheeto elote bomb! The orange chicken bomb! And the mangodana and spicy watermelon. There's a long line for a reason and staff is really nice working hard and fast. Can't wait to come back and haven't left yet.,1
trn_4,"Came here for my friend's 21st birthday dinner with a group of 6 people. The atmosphere didn't seem too crowded for a prime dinner time or during happy hour time (5:30-6:30pm). But the service was pretty slow throughout our dining. It took a while for our food to get ordered as well as be brought to us. Also we brought a cake to eat there after the dinner portion and asked if they could store it for us in their kitchen so we assumed that it'd be refrigerated at least - but when the cake was brought out, it was lukewarm and definitely was not refrigerated. I thought it was a basic rule to know that something like this should be refrigerated but was disappointed that it wasn't. Also we mentioned it was our friend's birthday, but there was nothing in particular that was done for her birthday? Seemed kind of like there wasn't anything special that Kaya does for birthdays, for example singing happy birthday or having some of the workers gather to sing? Also the person refilling the water came too frequently that it was almost disturbing our dinner. And lastly, when we got our checks, they gave it to us with the customer copy on top when the merchant copy should be on top. Maybe these are petty things I'm reviewing about but I think these are also basic restaurant manners. I would give the service a 3/5. 

We shared the Jerked Pork & Plantain Nachos appetizer. The plantain chips were really good but I would say that the flavors were not consistent throughout. For my dinner entree I ordered the flank steak cemita, which was a sandwich with sliced pieces of steak, romaine lettuce, avocado, tomato, cilantro, pickled red onion, Oaxaca cheese, black bean and chipotle aioli. I got a side of sweet potato fries to go with that. The cemita was actually very good. All the flavors blended very well together. I didn't feel that it was seasoned too salty or too bland. Overall was very pleased with my entree order. I would give the food a 4/5. 

Not sure if I would come here again any time soon just because it is more of a high-end restaurant that college students would not be able to afford very often.",1
trn_5,"I was in Scottsadale last month and made a spur-of-the-moment decision to get my teeth whitened for my upcoming nuptials.  A friend suggested Brookstone Dental, so I made an appointment (they were excellent on accommodating my schedule).  The results were fantastic.  My teeth were noticeably (but not shockingly) brighter and I could not be happier with the results.  Excellent staff there as well and the office itself - very modern; very hi-tech.  I wished I lived in Az to go there regularly.",1
trn_6,"I was excited when this Villa Madina opened. I'm excited when any place that potentially has vegan options in its menu, opens up in a mall food court. Especially when I remember how much I enjoyed Villa Madina at Cross Iron Mills.

This place, however, needs some tweaking. The portions here are just as big as their Cross Iron Mills counterpart, but everything tastes either old, over dressed or reheated. The falafel balls tasted like the ones you get in a six-pack at Superstore. The tabouleh was swimming in extremely acidic dressing. I kept having to press it with my fork and shake it before eating it. The dolmades, however weren't bad. 

I want to root for them, because, again, vegan options in a Cowtown food court are hard to come by. But my tummy can't handle the old and acidic when I am hungry. I hope they improve, though. Or I'll just have to remember that pop a few antacids before hitting them up.",0
trn_7,These folks are really nice and accomodating. This is one of many different locations and I must say I get the same amount of attention and hospitality at the various locations I have been in. Cancer is never a pleasant thing but these guys try to make you feel comfortable as much as possible.,1
trn_8,"There's something about the vibe at Maizie's that feels so comfortable. It feels retro to me... a flashback to Indiana in the late '70s - early '80s. Maybe it's the giant bowls they serve the salads in. They make me think of Pizza Hut after a softball game circa 1980. 

Here are some things I like best about Maizie's:

The wingless buffalo dip is deadly -- I mean that in a good way (and it should be on the late night menu). It's gotta be mostly cream cheese... how can you go wrong?!

The fries are good, but the potato cakes are frickin' awesome! Thick mounds of really yummy mashed potatoes with a hint of horseradish, barely browned on either side.

The inside out burgers are literally filled with the items described (my fave is the Feta burger - stuffed with feta cheese and sun-dried tomatoes and served with a thimble full of chipotle humus that packs a slight punch and is great on top of the burger as bizarre as that sounds)",1
trn_9,I purchased a living social gift certificate and this was my first visit. I will definitely go back. This is an outstanding service oriented salon. I have short thick hair and Allison gave me one of the best haircuts I have ever received! I have already made my second appointment.,1
trn_10,"One of the worst locations of Cineplex that I have ever been. Rudest employees and the WORST customer service. Please go to other locations, there are so many others.",-1
trn_11,"We were at the Border Grill on Valentine's day, the food was amazing!! I had the chicken poblano enchiladas and they were incredible!  Our waitress on the other hand was not so great! A man delivered our menus and chips and he was much more friendly and helpful than our waitress who referred to Him her assistant, should have been the other way around.  Once I got a drink it was great, but she was slow, rude and didnt even tell us the specials.  I asked for a side of something and my meal was over by the time she had it delivered.  Then we waited fifteen minutes just to get our check!  Great food!  Bad waitress!  Would go again and hope for a better server.",1
trn_12,"I said YES to the dress today! Haley is who assisted me, along with her Mom. They were both so nice, friendly, professional and helpful. I am a very happy bride with the dress of my dreams! Thank you ladies for all of your time and help! I recommend this place to anyone! A++++",1
trn_13,"I can think of nothing I enjoy more for lunch than a well-crafted, hot sandwich. Bertha's sells a mean panini, and I can't bring myself to order anything but the one that features asparagus. It's that good. My wife surprised me with the asparagus panini on Valentine's Day, and it was the perfect gift.

For those of you who like sweets, this place has some fantastic cookies and dessert bars.",1
trn_14,"Beth and her team are absolutely fantastic. I travel extensively and we have never used a pet sitter that isn't a very close family friend. This year, our plans didn't work out, and 5 says before Thanksgiving I reached out to Beth in desperate mode for a sitter for a 16 week old retriever puppy, 12 year old yellow lab, and tiny special needs kitty. She accepted the request, came over without much notice for the meet and greet and did a phenomenal job with a tough group of animals. She kept us updated with texts, pics and notes and we were able to enjoy the holiday without stressing. We will spread the word to as many people as we can, I highly recommend Beth and the wags in the city team!",1
